Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,GeoCode,Value
2021,1875389,01/01/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8402044912,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,Newcastle-under-LymeDistrict,,SJ8402044912,1
2021,1875483,01/01/2021,DevonandCornwall,SX0117051050,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,RestormelDistrict,,SX0117051050,2
2021,1875611,02/01/2021,LincolnshireandNorthamptonshire,SK9418045340,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LincolnshireCounty,SouthKestevenDistrict,,SK9418045340,3
2021,1875671,02/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO9478227795,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),GloucestershireCounty,TewkesburyDistrict,,SO9478227795,4
2021,1875818,03/01/2021,"Kent,SouthLondonandEastSussex",TQ5052348713,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,SevenoaksDistrict,,TQ5052348713,5
2021,1875901,04/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SJ8238505863,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),ShropshireCounty,BridgnorthDistrict,,SJ8238505863,6
2021,1876028,04/01/2021,"Kent,SouthLondonandEastSussex",TQ3534737767,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WestSussexCounty,MidSussexDistrict,,TQ3534737767,7
2021,1876231,05/01/2021,Yorkshire,SK3834368944,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),DerbyshireCounty,ChesterfieldDistrict,,SK3834368944,8
2021,1876290,05/01/2021,Yorkshire,SE2248134751,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,SE2248134751,9
2021,1876391,05/01/2021,EastAnglia(CambridgeshireandBedfordshire),TL1722527593,Yes,Category3(Minor),Category3(Minor),Category1(Major),HertfordshireCounty,NorthHertfordshireDistrict,,TL1722527593,10
2021,1876440,05/01/2021,"Kent,SouthLondonandEastSussex",TR0324541235,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,AshfordDistrict,,TR0324541235,11
2021,1876873,07/01/2021,EastMidlands,SK5796758339,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),NottinghamshireCounty,MansfieldDistrict,,SK5796758339,12
2021,1876991,07/01/2021,NorthEast,NZ0959054215,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),DurhamCounty,DerwentsideDistrict,,NZ0959054215,13
2021,1877036,07/01/2021,Yorkshire,SE1642907383,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,KirkleesDistrict,,SE1642907383,14
2021,1877079,07/01/2021,Thames,SP2898301863,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,WestOxfordshireDistrict,,SP2898301863,15
2021,1877179,07/01/2021,Thames,SP7600403208,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,SouthOxfordshireDistrict,,SP7600403208,16
2021,1877238,08/01/2021,EastAnglia(CambridgeshireandBedfordshire),TL2108469808,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),CambridgeshireCounty,HuntingdonshireDistrict,,TL2108469808,17
2021,1878047,11/01/2021,Yorkshire,SE2621730282,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),,LeedsDistrict,,SE2621730282,18
2021,1878142,11/01/2021,Yorkshire,SE1945740862,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,SE1945740862,19
2021,1878203,11/01/2021,Yorkshire,SE3645637397,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,LeedsDistrict,,SE3645637397,20
2021,1878421,12/01/2021,"Kent,SouthLondonandEastSussex",TQ7917027752,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,TunbridgeWellsDistrict,,TQ7917027752,21
2021,1878817,13/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO3470752784,Yes,Category2(Significant),Category4(NoImpact),Category3(Minor),,,CountyofHerefordshire,SO3470752784,22
2021,1879386,14/01/2021,HertfordshireandNorthLondon,TL2873021356,Yes,Category4(NoImpact),Category2(Significant),Category2(Significant),HertfordshireCounty,EastHertfordshireDistrict,,TL2873021356,23
2021,1880291,17/01/2021,DevonandCornwall,ST3969605363,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DorsetCounty,WestDorsetDistrict,,ST3969605363,24
2021,1880372,18/01/2021,LincolnshireandNorthamptonshire,TF3842404993,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),CambridgeshireCounty,FenlandDistrict,,TF3842404993,25
2021,1880395,18/01/2021,Yorkshire,SE0150941184,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),,BradfordDistrict,,SE0150941184,26
2021,1880479,18/01/2021,"GreaterManchester,MerseysideandCheshire",SJ7448496950,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),,SalfordDistrict,,SJ7448496950,27
2021,1880844,19/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SJ4705103106,Yes,Category3(Minor),Category3(Minor),Category2(Significant),ShropshireCounty,ShrewsburyandAtchamDistrict,,SJ4705103106,28
2021,1881252,20/01/2021,"GreaterManchester,MerseysideandCheshire",SJ6823298005,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),,WiganDistrict,,SJ6823298005,29
2021,1881704,20/01/2021,DevonandCornwall,SS5136713082,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DevonCounty,TorridgeDistrict,,SS5136713082,30
2021,1881951,21/01/2021,HertfordshireandNorthLondon,SP9879606035,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),HertfordshireCounty,DacorumDistrict,,SP9879606035,31
2021,1882208,21/01/2021,LincolnshireandNorthamptonshire,TF1996059350,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),LincolnshireCounty,EastLindseyDistrict,,TF1996059350,32
2021,1882857,23/01/2021,LincolnshireandNorthamptonshire,SP8312590970,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),NorthamptonshireCounty,CorbyDistrict,,SP8312590970,33
2021,1883413,25/01/2021,CumbriaandLancashire,SD3087044830,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),LancashireCounty,WyreDistrict,,SD3087044830,34
2021,1883459,25/01/2021,EastMidlands,SK2745452659,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),DerbyshireCounty,DerbyshireDalesDistrict,,SK2745452659,35
2021,1883817,26/01/2021,Yorkshire,SK4387979904,Yes,Category3(Minor),Category2(Significant),Category3(Minor),DerbyshireCounty,NorthEastDerbyshireDistrict,,SK4387979904,36
2021,1884122,27/01/2021,CumbriaandLancashire,SD7281952615,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LancashireCounty,RibbleValleyDistrict,,SD7281952615,37
2021,1884641,28/01/2021,Yorkshire,SE4159414833,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,WakefieldDistrict,,SE4159414833,38
2021,1884718,28/01/2021,EastMidlands,SK7469120014,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),LeicestershireCounty,MeltonDistrict,,SK7469120014,39
2021,1885777,29/01/2021,Thames,SP2772505134,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),OxfordshireCounty,WestOxfordshireDistrict,,SP2772505134,40
2021,1885985,30/01/2021,"Kent,SouthLondonandEastSussex",TQ1899543937,Yes,Category3(Minor),Category4(NoImpact),Category2(Significant),SurreyCounty,MoleValleyDistrict,,TQ1899543937,41
2021,1886338,31/01/2021,EastMidlands,SK6696300696,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LeicestershireCounty,HarboroughDistrict,,SK6696300696,42
