Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,Value
2021,1875389,01/01/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8402044912,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,Newcastle-under-LymeDistrict,,1
2021,1875483,01/01/2021,DevonandCornwall,SX0117051050,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,RestormelDistrict,,2
2021,1875611,02/01/2021,LincolnshireandNorthamptonshire,SK9418045340,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LincolnshireCounty,SouthKestevenDistrict,,3
2021,1875671,02/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO9478227795,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),GloucestershireCounty,TewkesburyDistrict,,4
2021,1875818,03/01/2021,"Kent,SouthLondonandEastSussex",TQ5052348713,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,SevenoaksDistrict,,5
2021,1875901,04/01/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SJ8238505863,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),ShropshireCounty,BridgnorthDistrict,,6
2021,1876028,04/01/2021,"Kent,SouthLondonandEastSussex",TQ3534737767,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WestSussexCounty,MidSussexDistrict,,7
2021,1876231,05/01/2021,Yorkshire,SK3834368944,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),DerbyshireCounty,ChesterfieldDistrict,,8
2021,1876290,05/01/2021,Yorkshire,SE2248134751,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,9
2021,1876391,05/01/2021,EastAnglia(CambridgeshireandBedfordshire),TL1722527593,Yes,Category3(Minor),Category3(Minor),Category1(Major),HertfordshireCounty,NorthHertfordshireDistrict,,10
2021,1876440,05/01/2021,"Kent,SouthLondonandEastSussex",TR0324541235,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,AshfordDistrict,,11
